image_id,category,name,price10,price20,price30
1,Homme,GIVENCHY MMW,200,370,550
2,Homme,TF OMBRE LEATHER,200,370,550
3,Homme,BLEU DE CHANEL,130,240,360
4,Homme,DIOR HOMME INTENSE,150,280,420
5,Homme,DIOR SAUVAGE,130,240,360
6,Homme,DIOR FAHRENHEIT,150,280,420
7,Homme,LACOSTE BLANC,130,240,360
8,Homme,VALENTINO UOMO INTENSE,150,280,420
9,Homme,D&G LIGHT BLUE INTENSE,150,280,420
10,Homme,D&G THE ONE EDP,150,280,420
11,Homme,D&G LAIL SIHRI,150,280,420
12,Homme,D&G LAIL MALAKI,150,280,420
13,Homme,SWY ABSOLUTELY,140,260,390
14,Homme,SWY INTENSELY,130,240,360
15,Homme,1 MILLION ROYAL,150,280,420
16,Homme,1 MILLION,120,220,330
17,Homme,SAUVAGE ÉLIXIR,250,470,700
18,Homme,GIVENCHY RESERVE PRIVÉE,140,260,390
19,Homme,GUCCI OUD INTENSE,200,370,550
20,Homme,JPG SCANDAL ABSOLU,170,320,480
21,Homme,JPG LE BEAU PARFUM,150,280,420
22,Homme,JPG PARADISE GARDEN,150,280,420
23,Homme,JPG LE MALE PARFUM,150,280,420
24,Homme,LE MALE ELIXIR,150,280,420
25,Homme,SPICEBOMB,130,240,360
26,Homme,AZZARO WANTED INTENSE,140,260,390
27,Homme,YSL MYSLF,170,320,480
28,Homme,9 PM REBEL,80,150,210
29,Homme,LA NUIT DE L'HOMME INTENSE,130,240,360
30,Homme,CHOPARD OUD MALAKI,130,240,360
31,Homme,ALLURE HOMME SPORT,150,280,420
32,Homme,BOSS BOTTLED ELIXIR,170,320,480
33,Homme,ACQUA DI GIO PROFONDO,170,320,480
34,Homme,VERSACE EROS EDP,140,260,390
35,Homme,JO MALONE MYRRH AND TONKA,170,320,480
36,Homme,INVICTUS VICTORY ELIXIR,130,240,360

37,Femme,POISON HYPNOTIC,180,340,500
38,Femme,VALENTINO DONNA INTENSE,180,340,500
39,Femme,L’INTERDIT ROUGE,150,280,420
40,Femme,CHANEL ALLURE,140,260,390
41,Femme,GUERLIN PAMPLEUNE,150,280,420
42,Femme,AMOUAGE HONOR,200,370,550
43,Femme,LA BELLE LE PARFUM,180,340,500
44,Femme,JPG LA BELLE EDP,150,280,420
45,Femme,JPG DIVINE,170,320,480
46,Femme,LA BELLE PARADISE GARDEN,170,320,480
47,Femme,VERSACE CRYSTAL NOIR,180,340,500
48,Femme,PACO RABANNE FAME,130,240,360
49,Femme,D&G DEVOTION,170,320,480
50,Femme,D&G LIGHT BLUE INTENSE,150,280,420
51,Femme,PRADA PARADOX,180,340,500
52,Femme,BURBERRY GODDESS,170,320,480
53,Femme,GISSAH ONE & ONLY,130,240,360
54,Femme,LIBRE PLATINE,160,300,450
55,Femme,YSL LIBRE EDP,140,260,390
56,Femme,MONTAL ROSES MUSK,150,280,420
57,Femme,MANCERA MUSKY GARDEN,150,280,420
58,Femme,GIVENCHY IRRÉSISTIBLE,170,320,480
59,Femme,CHANEL GABRIEL,150,280,420
60,Femme,MANCERA AOUD BLUE NOTE,150,280,420
61,Femme,COCO CHANEL,180,340,500
62,Femme,MANCERA JARDIN EXCLUSIF,150,280,420
63,Femme,JO MALONE DARK & AMBER,170,320,480
64,Femme,GOOD GIRL,160,300,450
65,Femme,GOOD GIRL BLUSH ELIXIR,180,340,500
66,Femme,L'IMPÉRATRICE,140,260,390
67,Femme,NARCISO POUDRÉE,170,320,480
68,Femme,NARCISO RODRIGUEZ FOR HER,140,260,390

69,Niche,TF VELVET ORCHID,200,370,550
70,Niche,TF OUD WOOD,400,770,1150
71,Niche,TF TUSCAN LEATHER,400,770,1150
72,Niche,TF SOLEIL BLANC,400,770,1150
73,Niche,TF LOST CHERRY,400,770,1150
74,Niche,TF FUCKING FABULOUS,400,770,1150
75,Niche,TF NOIR,180,340,500
76,Niche,NISHANE HACIVAT,350,670,1000
77,Niche,DIOR OUD ISPAHAN,250,470,700
78,Niche,DIOR AMBRE NUIT,250,470,700
79,Niche,MEMO MARFA,200,370,550
80,Niche,SUPREME BOUQUET,250,470,700
81,Niche,LE LABO SANTAL 33,250,470,700
82,Niche,MARLY LAYTON,300,570,850
83,Niche,MARLY PEGASUS,300,570,850
84,Niche,MARLY ALTHAIR,300,570,850
85,Niche,DELINA,300,570,850
86,Niche,C.H SANDAL RUBY,200,370,550
87,Niche,SANTAL ROYAL,180,340,500
88,Niche,AMOUAGE INTERLUDE,300,570,850
89,Niche,ROJA ELYSIUM,300,570,850
90,Niche,XERJOFF ALEXANDRIA II,450,870,1300
91,Niche,XERJOFF NAXOS,300,570,850
92,Niche,XERJOFF ERBA GOLD,300,570,850
93,Niche,CREED AVENTUS,350,670,1000
94,Niche,BVLGARI TYGAR,380,730,1090
95,Niche,TERRONI,350,670,1000
96,Niche,MEGAMARE,350,670,1000
97,Niche,MFK GRAND SOIR,350,670,1000
98,Niche,MFK BACCARAT ROUGE,400,770,1150
99,Niche,LV LOVERS,350,670,1000
100,Niche,LV IMAGINATION,350,670,1000
101,Niche,LV AFTERNOON SWIM,350,670,1000
102,Niche,LV OMBRE NOMADE,400,770,1150
103,Niche,LV ORAGE,350,670,1000
104,Niche,LV ROSES DES VENTS,350,670,1000
